order_id,customer,product_type,quantity,arrival_date,due_date,priority,scenario
S-OVE-0093,Nokia,C,200,2025-03-07,2025-03-15,1,overload
S-OVE-0094,HP,C,100,2025-03-23,2025-04-03,1,overload
S-OVE-0095,Dell,B,20,2025-03-27,2025-04-10,1,overload
S-OVE-0096,緯創,B,200,2025-03-10,2025-03-29,1,overload
S-OVE-0097,Cisco,A,500,2025-03-30,2025-04-13,1,overload
S-OVE-0098,緯創,D,30,2025-03-18,2025-03-31,1,overload
S-OVE-0099,HP,B,200,2025-03-22,2025-04-02,3,overload
S-OVE-0100,鴻海,B,100,2025-03-17,2025-04-04,1,overload
S-OVE-0101,和碩,B,50,2025-03-06,2025-03-23,1,overload
S-OVE-0102,廣達,C,1000,2025-03-29,2025-04-04,1,overload
S-OVE-0103,Apple Inc.,C,500,2025-04-12,2025-04-21,1,overload
S-OVE-0104,緯創,B,100,2025-03-23,2025-04-08,1,overload
S-OVE-0105,廣達,A,100,2025-03-21,2025-04-03,1,overload
S-OVE-0106,Nokia,A,100,2025-03-31,2025-04-13,1,overload
S-OVE-0107,Dell,B,20,2025-03-13,2025-03-29,1,overload
S-OVE-0108,台積電,C,200,2025-03-18,2025-03-21,3,overload
S-OVE-0109,Dell,A,100,2025-04-10,2025-04-22,2,overload
S-OVE-0110,台積電,B,200,2025-03-31,2025-04-15,1,overload
S-OVE-0111,和碩,D,300,2025-03-08,2025-03-23,1,overload
S-OVE-0112,HP,B,20,2025-03-10,2025-03-28,1,overload
S-OVE-0113,聯發科,E,200,2025-04-05,2025-04-12,1,overload
S-OVE-0114,HP,A,500,2025-03-29,2025-04-09,1,overload
S-OVE-0115,Apple Inc.,A,50,2025-04-09,2025-04-18,1,overload
S-OVE-0116,廣達,B,100,2025-04-12,2025-04-22,3,overload
S-OVE-0117,鴻海,B,50,2025-03-01,2025-03-20,1,overload
S-OVE-0118,和碩,A,200,2025-03-19,2025-03-31,2,overload
S-OVE-0119,廣達,D,60,2025-03-28,2025-04-10,1,overload
S-OVE-0120,和碩,C,100,2025-03-04,2025-03-12,1,overload
